spotify_id,community,artist,popularity,followers,genre
48WvrUGoijadXXCsGocwM4,42,Byklubben,24,1738.0,nordic house
4lDiJcOJ2GLCK6p9q5BgfK,70,Kontra K,72,1999676.0,christlicher rap
652XIvIBNGg3C0KIGEJWit,70,Maxim,36,34596.0,Unknown
3dXC1YPbnQPsfHPVkm1ipj,2,Christopher Martin,52,249233.0,dancehall
74terC9ol9zMo8rfzhSOiG,3,Jakob Hellman,39,21193.0,classic swedish pop
0FQMb3mVrAKlyU4H5mQOJh,4,Madh,19,26677.0,Unknown
71BhXa24Zf5zcikUb00l2N,42,Juice,37,11312.0,swedish drill
3TG1RXLaEhHz5SIPMWahit,5,Nehuda,31,36252.0,francoton
7MFvm8pwjLdmVBZddGNiQH,33,VovaZiLvova,43,14619.0,ukrainian hip hop
5I82NM6jN4Y267iHwVeNR9,7,Nata Record,12,188.0,Unknown
5OkJ74jazRprW3kCTjfgOL,42,Yomi,30,7246.0,norwegian pop rap
5qBZETtyzfYnXOobDXbmcD,8,Danny Elfman,63,327256.0,orchestral soundtrack
5RYLofQHxZcrEl9Bl23MCS,9,MaRina,29,6408.0,Unknown
3xs0LEzcPXtgNfMNcHzLIP,57,Rockwell,58,40344.0,Unknown
2tGETO39QXKpmeQMSzr5I6,11,Pálmi Gunnarsson,27,3207.0,classic icelandic pop
6cd9X2t4HN8zjoxOblaDTz,74,Suur Papa,29,6752.0,estonian hip hop
2NUz5P42WqkxilbI8ocN76,2,Vybz Kartel,63,1026598.0,dancehall
3PGwQavDRylE3cEDRRISYV,13,CAMO,10,394.0,Unknown
4Lm0pUvmisUHMdoky5ch2I,69,Apocalyptica,60,864846.0,alternative metal
6M2wZ9GZgrQXHCFfjv46we,15,Dua Lipa,88,36163788.0,dance pop
0SIXZXJCAhNU8sxK0qm7hn,16,Stefanie Sun,57,561300.0,c-pop
7jXoGtR69J2iYCefc58MZX,16,Twins,45,92440.0,c-pop
2sjnyyL9NXijL3Fr2eLikf,17,Aspova,57,339292.0,turkish hip hop
2bPh6UXbS7wZ7tyN35kFEG,18,Artistic Raw,40,7088.0,dutch house
7yaaxrkMOWJZXpIYHkppDH,27,Angela Ken,45,30050.0,pinoy singer-songwriter
63vwPO1QheUOil1fkQsv0u,162,Labanoon,44,498739.0,thai folk rock
4JNo6Q5KdcRf1vtSX9mB0S,21,João Gomes,74,4122782.0,arrocha
68fwnXPTQaiMV7rKvSkTYQ,42,Daniela Reyes,25,2348.0,norwegian contemporary jazz
5Matrg5du62bXwer29cU5T,15,Benny The Butcher,64,266547.0,boom bap
0qZ24TkLCHoE3ajCzGItJ1,37,Sharmoofers,37,453284.0,arab alternative
4e0nWw2r4BoQSKPQ2zpU13,70,Ray Dalton,71,39139.0,uk pop
2HmmA3GhP0xsbRUiDllJUn,15,Pep & Rash,39,77599.0,dutch edm
2xIWjLEjEkPdclYsGGMTpK,7,B10,45,80926.0,drill espanol
2AZOALDIBORfbzKTuliwdJ,7,Cristian Castro,69,2620684.0,latin arena pop
3V79CTgRnsDdJSTqKitROv,8,Nobuo Uematsu,61,264682.0,anime score
7jZMxhsB8djyIbYmoiJSTs,15,Kiana Ledé,64,1351452.0,chill r&b
15NoI73ol1fVF11li1RKMB,15,Nick Lopez,31,3252.0,Unknown
6HHje5tfmzWK8PsSaoJ9Xp,27,SAMSONS,57,887275.0,indonesian pop
6pUYaWjHnY2HdN6RC6ELml,15,Total Ape,34,3330.0,Unknown
2L6UrPU37b4pCVWqURjkEX,13,DON EAZY,28,1210.0,danish hip hop
0t7vWPRBcVv4xBEHPZHSWA,27,Sitti,47,74147.0,opm
6bOZtDVI19rOqC4NWihcea,7,Los Pikantes,33,7752.0,plena uruguaya
4XC335ouK6pXyq4QiIb8bP,24,Eliza Rose,69,12038.0,Unknown
0LyOADBjj28cbvJWTXUEGA,25,Loren Allred,58,111839.0,deep talent show
3JCyEziWwDZksR1WY8EckM,7,Darío Gómez,58,444728.0,classic colombian pop
6Xg22wJOAcnvPUfk5WvODH,26,JEON SOYEON,56,626827.0,k-pop
2Dxbev9hZzbiEEwocnObzH,15,Faul,36,16673.0,tropical house
70x9rYb58QCNNeNxuO3StS,21,Bruno & Barretto,60,2455856.0,sertanejo
1tKrZaph4cLsnEdqC5BNEQ,21,Clayton & Romário,67,101804.0,arrocha
6pZzHAdfBLIEkQVRUhB8ps,27,Cakra Khan,52,532592.0,indonesian pop
15tTVhFpH8EFXeDgO9xkRO,25,Trey Lewis,56,78275.0,contemporary country
5YxFBIX6yyncauK1DmRPY7,69,Antti Ketonen,32,5466.0,finnish pop
4FlKPhukcfvgdRVi4lUeji,13,Danni,29,10436.0,danish hip hop
2tY2GFdhH0Wa2VBvsxew5X,7,Alex Ubago,64,1928777.0,latin arena pop
4XDBGHRPftnFVN98aR9hVZ,11,Jülevenner,3,55.0,Unknown
4u5rOZ3ecm8hFzCskgOEw3,42,Innertier,38,19208.0,norwegian pop
7sjRnhONmeFL1tmlUvdq70,3,Fractures,39,35028.0,vapor soul
0OYspJRShx3Yx7QIykOJgq,69,OG Ulla-Maija,39,20313.0,finnish dance pop
5uO0iSpH2o5KCJfJI3oF2p,69,Pekka Ruuska,33,2779.0,classic finnish pop
3VQDqjQ4wJyw8PzpGdlZpB,26,Colde,56,319488.0,chill r&b
3LVYHgfHgCTy3QSRt5kKQg,29,Rasster,49,8930.0,Unknown
15KLH07gPcD01t7gy4PBFu,30,Kobi Peretz,39,83580.0,israeli mediterranean
4rAHyaEQmeABTKj0Rjok4V,31,DJ Travesura,31,25033.0,guaracha
29OFoMngbkNzwla2kczgdu,32,Leila AD,44,70114.0,francoton
4N874uPqBka1QiCvnCVOtr,15,Phoebe Ryan,55,339160.0,alt z
71hQB5jxdNiHk5gzZRhicQ,26,Sonoko Inoue,55,203114.0,anime rock
0W6YzWeMAORHYzwdGsU1Y2,33,ЛЯЛЬКА,35,9025.0,zhenskiy rep
7siPnM6FjNP8KnXO5YDwAH,34,Mente Fuerte,53,175840.0,greek hip hop
02qlwM8fpqep7vX8KKEFmK,15,LA Vision,51,7721.0,Unknown
7wU2WGCJ8HxkekHHE2QLul,7,Fuego,67,253571.0,latin hip hop
7ciBW1p3KBsYIkFk4UmwS8,7,The Rudeboyz,51,14451.0,trap brasileiro
3N7PAaiIBEDfL6y6Rwso48,42,Martin Stenmarck,37,25787.0,classic swedish pop
2l35CQqtYRh3d8ZIiBep4v,15,MKTO,66,995449.0,dance pop
62nVRNDLaS8m1p31F6omGw,7,José Madero,62,301455.0,mexican indie
6TYimByryGphZCtwYopH0y,21,Lauana Prado,69,2705362.0,sertanejo
6FJeuwLBCX8VSTf6hp1Vc9,37,Lege-Cy,47,345340.0,egyptian hip hop
4vcc1VAbvzJjbMTsPYL6OU,15,黄霄雲,47,14334.0,Unknown
6wje46d51a0hZE1gqkKL3J,162,TAEW,31,1385.0,Unknown
6kG0WKHsAOfWp5IsizmQxR,15,SACHI,40,15361.0,nz electronic
0qZWRrQj38rwkxeRQ3HowZ,18,Ruben Annink,43,22014.0,dutch pop
7EuXVmTcFfpvmFbi1CTctP,69,Kuningasidea,33,19686.0,finnish dance pop
0Do6bAo2kcVLp7ekzypskJ,21,A Banca Records,49,142541.0,brazilian hip hop
1miuiUk8Xya3zRHZzqAYAW,42,Mokke,42,4495.0,swedish drill
0AtQAehoytV7j1r4O16dRb,25,Cooper Alan,57,251538.0,Unknown
5qpRZGcyFKPkQqecBMZ1wz,9,Kamerzysta,35,142172.0,polish trap
5tG5dl5mS2wB5w72YBpsyg,70,Herbert Grönemeyer,57,629217.0,german pop
